MC,KC,NC,Time(s),StdDev(s),GFLOPS
64,96,512,0.302924,0.00888975,56.7135
64,96,1024,0.307854,0.00681013,55.8053
64,96,2048,0.303121,0.000920006,56.6766
64,128,512,0.295772,0.00188541,58.0848
64,128,1024,0.29553,0.00411689,58.1323
64,128,2048,0.292403,0.00245246,58.7541
64,192,512,0.292474,0.00133726,58.7398
64,192,1024,0.29077,0.000235371,59.084
64,192,2048,0.290667,0.000237022,59.105
64,256,512,0.290503,0.00012745,59.1384
64,256,1024,0.290633,0.000156184,59.1119
64,256,2048,0.290767,0.000176034,59.0846
64,384,512,0.290977,0.000446479,59.042
64,384,1024,0.290806,0.000324501,59.0767
64,384,2048,0.291712,0.00129547,58.8932
96,96,512,0.291285,0.000635563,58.9797
96,96,1024,0.290905,0.000109368,59.0566
96,96,2048,0.29087,0.00024493,59.0637
96,128,512,0.290748,0.000125566,59.0884
96,128,1024,0.290941,0.000216467,59.0494
96,128,2048,0.290998,0.000374278,59.0379
96,192,512,0.291014,0.000168074,59.0346
96,192,1024,0.291012,0.00010317,59.035
96,192,2048,0.291065,0.000210347,59.0242
96,256,512,0.290777,0.000201526,59.0827
96,256,1024,0.291062,0.000254717,59.0248
96,256,2048,0.291141,0.000248707,59.0088
96,384,512,0.290955,0.000104673,59.0466
96,384,1024,0.291119,0.000233171,59.0133
96,384,2048,0.291023,0.000258415,59.0327
128,96,512,0.291368,0.000551605,58.9628
128,96,1024,0.291211,0.000260764,58.9945
128,96,2048,0.290823,6.39073e-05,59.0733
128,128,512,0.290894,0.000161165,59.0589
128,128,1024,0.291136,0.000268052,59.0098
128,128,2048,0.291041,0.000269438,59.029
128,192,512,0.291057,0.000273366,59.0258
128,192,1024,0.290946,0.000216592,59.0482
128,192,2048,0.290848,0.000162775,59.0682
128,256,512,0.290883,0.00018401,59.0611
128,256,1024,0.290803,0.000224252,59.0773
128,256,2048,0.29073,0.000186497,59.0922
128,384,512,0.291007,0.000247094,59.036
128,384,1024,0.290848,0.000351424,59.0681
128,384,2048,0.290776,0.00015117,59.0828
192,96,512,0.291134,0.00029906,59.0101
192,96,1024,0.291157,0.000830501,59.0055
192,96,2048,0.290937,0.00013099,59.0502
192,128,512,0.291051,0.000272072,59.027
192,128,1024,0.291338,0.000305077,58.9689
192,128,2048,0.290838,0.000177508,59.0702
192,192,512,0.291154,0.000434235,59.0061
192,192,1024,0.291034,0.000429128,59.0305
192,192,2048,0.291056,0.000388306,59.026
192,256,512,0.290988,0.000317571,59.0399
192,256,1024,0.29088,0.000203525,59.0617
192,256,2048,0.291095,0.000248203,59.0181
192,384,512,0.291385,0.000635329,58.9594
192,384,1024,0.291952,0.0010252,58.8448
192,384,2048,0.291563,0.000471215,58.9234
256,96,512,0.291117,0.00032099,59.0136
256,96,1024,0.291102,0.000312981,59.0167
256,96,2048,0.291152,0.000486864,59.0065
256,128,512,0.291131,0.000425721,59.0107
256,128,1024,0.292063,0.0023758,58.8225
256,128,2048,0.291118,0.000378596,59.0135
256,192,512,0.290984,8.50632e-05,59.0407
256,192,1024,0.290983,0.000227865,59.0409
256,192,2048,0.291065,0.000158213,59.0241
256,256,512,0.291294,0.000239014,58.9777
256,256,1024,0.291184,0.000462311,59.0001
256,256,2048,0.291006,0.000348801,59.036
256,384,512,0.291015,0.000308076,59.0343
256,384,1024,0.291058,0.000214225,59.0257
256,384,2048,0.291044,0.000172666,59.0284
